epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1990.36,0.56024,0.39535,0.85008,0.86906,0.8709,0.91809,0.771,0.51711,0.364,0.83833,0.005743,0.005743,0.005743
45,2034.44,0.55927,0.39091,0.84832,0.86704,0.87481,0.92303,0.77323,0.51726,0.36007,0.83707,0.005644,0.005644,0.005644
46,2078.18,0.55728,0.39015,0.84828,0.86677,0.87659,0.92202,0.77304,0.51696,0.36438,0.83681,0.005545,0.005545,0.005545
47,2121.91,0.55218,0.38534,0.84718,0.87215,0.87211,0.9224,0.77372,0.5181,0.36022,0.83903,0.005446,0.005446,0.005446
48,2166.04,0.5536,0.38221,0.84711,0.87172,0.868,0.92104,0.77429,0.5208,0.36392,0.83766,0.005347,0.005347,0.005347
49,2210.42,0.55297,0.38421,0.84645,0.8654,0.87653,0.92141,0.77603,0.51163,0.35689,0.83361,0.005248,0.005248,0.005248
50,2254.4,0.55033,0.38099,0.8464,0.87581,0.87541,0.92184,0.77599,0.5129,0.35554,0.83419,0.005149,0.005149,0.005149
51,2298.77,0.5478,0.37911,0.84723,0.87478,0.87418,0.92436,0.7796,0.51372,0.35722,0.83667,0.00505,0.00505,0.00505
52,2343.37,0.54737,0.37751,0.84539,0.86408,0.89014,0.92453,0.77829,0.51452,0.35576,0.83517,0.004951,0.004951,0.004951
53,2387.76,0.54385,0.37398,0.84379,0.87489,0.87451,0.92524,0.7784,0.511,0.35654,0.83331,0.004852,0.004852,0.004852
54,2431.75,0.54328,0.37394,0.84551,0.88004,0.87843,0.92525,0.78137,0.50792,0.35236,0.83539,0.004753,0.004753,0.004753
55,2475.94,0.54266,0.37285,0.84546,0.874,0.88078,0.92417,0.77954,0.51066,0.35439,0.83522,0.004654,0.004654,0.004654
56,2519.91,0.54209,0.37011,0.84397,0.87406,0.88064,0.92547,0.78074,0.50601,0.34966,0.83282,0.004555,0.004555,0.004555
57,2563.72,0.53934,0.36913,0.84252,0.88169,0.87191,0.92549,0.78332,0.50508,0.34852,0.8324,0.004456,0.004456,0.004456
58,2607.79,0.5377,0.36621,0.84247,0.87965,0.87145,0.92352,0.78125,0.50763,0.34946,0.83237,0.004357,0.004357,0.004357
59,2651.56,0.5365,0.36493,0.84209,0.87999,0.86829,0.92537,0.78312,0.50756,0.35171,0.83357,0.004258,0.004258,0.004258
60,2695.33,0.54042,0.36559,0.84445,0.87446,0.88205,0.9248,0.78008,0.50639,0.35199,0.83275,0.004159,0.004159,0.004159
61,2758.88,0.53339,0.36055,0.84159,0.87766,0.87897,0.92605,0.78269,0.50593,0.34896,0.83285,0.00406,0.00406,0.00406
62,2802.73,0.53497,0.36098,0.84217,0.8801,0.87442,0.92459,0.78226,0.50643,0.35094,0.83418,0.003961,0.003961,0.003961
63,2846.55,0.52999,0.35559,0.84103,0.87604,0.88068,0.92555,0.78239,0.50195,0.34755,0.83105,0.003862,0.003862,0.003862
64,2890.22,0.53242,0.35853,0.84278,0.87537,0.87802,0.92345,0.78211,0.50181,0.34819,0.8328,0.003763,0.003763,0.003763
65,2933.99,0.52896,0.35721,0.83946,0.88476,0.8702,0.92526,0.7861,0.50134,0.34806,0.83084,0.003664,0.003664,0.003664
66,2978.09,0.5287,0.35307,0.84008,0.87358,0.87965,0.92514,0.78445,0.50042,0.34677,0.83046,0.003565,0.003565,0.003565
67,3021.97,0.5261,0.35031,0.83993,0.86688,0.89514,0.92484,0.7827,0.50371,0.34747,0.83218,0.003466,0.003466,0.003466
68,3065.97,0.52694,0.35121,0.84015,0.88371,0.8761,0.92642,0.78654,0.49952,0.34478,0.83121,0.003367,0.003367,0.003367
69,3109.99,0.52509,0.35069,0.83846,0.88206,0.87837,0.92613,0.78547,0.49978,0.3472,0.83031,0.003268,0.003268,0.003268
70,3153.78,0.52291,0.34791,0.84145,0.87606,0.88026,0.92477,0.78527,0.50012,0.34859,0.83195,0.003169,0.003169,0.003169
71,3197.8,0.52262,0.34534,0.83741,0.87324,0.88195,0.92407,0.78684,0.49819,0.34663,0.83053,0.00307,0.00307,0.00307
72,3241.99,0.52209,0.34572,0.8383,0.8773,0.8789,0.92456,0.78504,0.50021,0.34529,0.83154,0.002971,0.002971,0.002971
73,3285.85,0.52045,0.34432,0.83799,0.87668,0.88493,0.92651,0.78741,0.49714,0.34474,0.82914,0.002872,0.002872,0.002872
74,3330.2,0.51796,0.33835,0.83864,0.88058,0.88336,0.92785,0.78762,0.49862,0.34436,0.83046,0.002773,0.002773,0.002773
75,3374.38,0.51659,0.33748,0.83706,0.87874,0.881,0.92622,0.78819,0.49784,0.3444,0.8306,0.002674,0.002674,0.002674
76,3418.46,0.51341,0.33376,0.83591,0.89271,0.8651,0.92561,0.78699,0.49782,0.34385,0.83016,0.002575,0.002575,0.002575
77,3462.24,0.51619,0.3362,0.83855,0.88365,0.87961,0.92657,0.78864,0.49743,0.34378,0.83122,0.002476,0.002476,0.002476
78,3506.33,0.51411,0.33626,0.83643,0.89904,0.86268,0.92557,0.78808,0.49534,0.3432,0.82926,0.002377,0.002377,0.002377
79,3550.12,0.51327,0.33337,0.83731,0.88505,0.87656,0.92418,0.7863,0.49521,0.34338,0.83041,0.002278,0.002278,0.002278
80,3593.88,0.50965,0.32978,0.83491,0.87296,0.88476,0.92419,0.78664,0.49538,0.34431,0.82873,0.002179,0.002179,0.002179
81,3637.75,0.50986,0.32893,0.83463,0.8788,0.87909,0.92535,0.78745,0.49412,0.34523,0.82864,0.00208,0.00208,0.00208
82,3681.8,0.50924,0.32864,0.83619,0.88028,0.88013,0.92446,0.787,0.49421,0.34266,0.82924,0.001981,0.001981,0.001981
83,3727.25,0.50648,0.32336,0.83597,0.88194,0.88267,0.92469,0.78634,0.49312,0.34265,0.82919,0.001882,0.001882,0.001882
84,3771.54,0.50702,0.32462,0.83536,0.88209,0.87744,0.92351,0.7868,0.4929,0.3438,0.82979,0.001783,0.001783,0.001783
85,3819.92,0.5076,0.32418,0.83605,0.88016,0.87819,0.92292,0.78546,0.49396,0.34567,0.82971,0.001684,0.001684,0.001684
86,3877.85,0.50398,0.32022,0.83338,0.88332,0.87843,0.92292,0.78545,0.4933,0.34522,0.82887,0.001585,0.001585,0.001585
87,3921.52,0.50303,0.3179,0.83394,0.88182,0.87917,0.92277,0.78496,0.49265,0.34464,0.8291,0.001486,0.001486,0.001486
88,3965.21,0.50228,0.31945,0.83451,0.88723,0.87309,0.92309,0.78617,0.49168,0.34354,0.82882,0.001387,0.001387,0.001387
89,4008.93,0.49832,0.3151,0.8326,0.87756,0.88263,0.92217,0.78726,0.49196,0.34504,0.82816,0.001288,0.001288,0.001288
90,4052.76,0.49957,0.31473,0.83248,0.88922,0.86753,0.92264,0.78571,0.49168,0.34596,0.82773,0.001189,0.001189,0.001189
91,4096.49,0.48613,0.29281,0.83131,0.8941,0.86601,0.92295,0.78576,0.49243,0.34506,0.82747,0.00109,0.00109,0.00109
92,4138.17,0.47696,0.2857,0.83002,0.89023,0.871,0.92242,0.78687,0.49343,0.3452,0.82845,0.000991,0.000991,0.000991
93,4179.84,0.47431,0.28159,0.82718,0.88922,0.87113,0.92219,0.78555,0.49409,0.34539,0.828,0.000892,0.000892,0.000892
94,4221.27,0.47188,0.27861,0.8262,0.88584,0.87524,0.92187,0.78502,0.49376,0.34515,0.82749,0.000793,0.000793,0.000793
95,4263.15,0.46986,0.27671,0.82642,0.88116,0.88239,0.92209,0.78542,0.49347,0.34491,0.82747,0.000694,0.000694,0.000694
96,4304.94,0.46773,0.27397,0.82691,0.88166,0.87937,0.92144,0.78537,0.49328,0.34521,0.82794,0.000595,0.000595,0.000595
97,4346.43,0.46541,0.27156,0.82529,0.88057,0.88081,0.92091,0.78573,0.49269,0.34547,0.82765,0.000496,0.000496,0.000496
98,4388.04,0.46398,0.26998,0.82493,0.87495,0.8836,0.92051,0.78494,0.4925,0.34588,0.82725,0.000397,0.000397,0.000397
99,4429.67,0.46261,0.26724,0.82391,0.87231,0.887,0.9198,0.78383,0.49269,0.34657,0.82716,0.000298,0.000298,0.000298
100,4471.42,0.46063,0.26401,0.82337,0.86968,0.89089,0.91947,0.78399,0.49261,0.34745,0.82707,0.000199,0.000199,0.000199
